target,curve,x,y
warning_acid_base_balance,PR,1.0,0.13761467889908258
warning_acid_base_balance,PR,0.7333333333333333,0.22
warning_acid_base_balance,PR,0.7333333333333333,0.22448979591836735
warning_acid_base_balance,PR,0.7333333333333333,0.22916666666666666
warning_acid_base_balance,PR,0.7333333333333333,0.23404255319148937
warning_acid_base_balance,PR,0.7333333333333333,0.2391304347826087
warning_acid_base_balance,PR,0.6666666666666666,0.2222222222222222
warning_acid_base_balance,PR,0.6666666666666666,0.22727272727272727
warning_acid_base_balance,PR,0.6666666666666666,0.23255813953488372
warning_acid_base_balance,PR,0.6666666666666666,0.23809523809523808
warning_acid_base_balance,PR,0.6666666666666666,0.24390243902439024
warning_acid_base_balance,PR,0.6666666666666666,0.25
warning_acid_base_balance,PR,0.6666666666666666,0.2564102564102564
warning_acid_base_balance,PR,0.6666666666666666,0.2631578947368421
warning_acid_base_balance,PR,0.6666666666666666,0.2702702702702703
warning_acid_base_balance,PR,0.6666666666666666,0.2777777777777778
warning_acid_base_balance,PR,0.6666666666666666,0.2857142857142857
warning_acid_base_balance,PR,0.6666666666666666,0.29411764705882354
warning_acid_base_balance,PR,0.6666666666666666,0.30303030303030304
warning_acid_base_balance,PR,0.6666666666666666,0.3125
warning_acid_base_balance,PR,0.6,0.2903225806451613
warning_acid_base_balance,PR,0.6,0.3
warning_acid_base_balance,PR,0.6,0.3103448275862069
warning_acid_base_balance,PR,0.5333333333333333,0.2857142857142857
warning_acid_base_balance,PR,0.5333333333333333,0.2962962962962963
warning_acid_base_balance,PR,0.4666666666666667,0.2692307692307692
warning_acid_base_balance,PR,0.4666666666666667,0.28
warning_acid_base_balance,PR,0.4,0.25
warning_acid_base_balance,PR,0.3333333333333333,0.21739130434782608
warning_acid_base_balance,PR,0.3333333333333333,0.22727272727272727
warning_acid_base_balance,PR,0.3333333333333333,0.23809523809523808
warning_acid_base_balance,PR,0.3333333333333333,0.25
warning_acid_base_balance,PR,0.3333333333333333,0.2631578947368421
warning_acid_base_balance,PR,0.3333333333333333,0.2777777777777778
warning_acid_base_balance,PR,0.3333333333333333,0.29411764705882354
warning_acid_base_balance,PR,0.3333333333333333,0.3125
warning_acid_base_balance,PR,0.26666666666666666,0.26666666666666666
warning_acid_base_balance,PR,0.26666666666666666,0.2857142857142857
warning_acid_base_balance,PR,0.2,0.23076923076923078
warning_acid_base_balance,PR,0.2,0.25
warning_acid_base_balance,PR,0.2,0.2727272727272727
warning_acid_base_balance,PR,0.13333333333333333,0.2
warning_acid_base_balance,PR,0.13333333333333333,0.2222222222222222
warning_acid_base_balance,PR,0.06666666666666667,0.125
warning_acid_base_balance,PR,0.06666666666666667,0.14285714285714285
warning_acid_base_balance,PR,0.06666666666666667,0.16666666666666666
warning_acid_base_balance,PR,0.06666666666666667,0.2
warning_acid_base_balance,PR,0.06666666666666667,0.25
warning_acid_base_balance,PR,0.0,0.0
warning_acid_base_balance,PR,0.0,0.0
warning_acid_base_balance,PR,0.0,0.0
warning_acid_base_balance,PR,0.0,1.0
warning_acid_base_balance,ROC,0.0,0.0
warning_acid_base_balance,ROC,0.010638297872340425,0.0
